year,gp,driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
2025,Belgian Grand Prix,ALB,Williams,-0.009475295608108109,0.049873932475774506,37.0,"ols_team(fe+spline,clustered)",0.0,0.14978883284292252,1.0,-0.008529667340071982,0.04731984092106731,0.9002006578848113,0.09979934211518861,-0.0044481160628697825,0.5915003190122116,0.0036017244777766643,0.17650040709351233,4.456785889815765e-05,1e-06,0.006544714200304877,0.7716570917160299,0.007566993755730325
2025,Belgian Grand Prix,TSU,Red Bull Racing,-0.006569310238486842,0.10735277877289778,38.0,"ols_team(fe+spline,clustered)",0.34199999999999875,0.21802875957084122,1.0,0.061447108581297843,0.09631104417643871,0.8048697437727695,0.19513025622723046,0.0005930928413780327,0.23810939218811586,0.0036017244777766643,0.17650324513005794,2.1036006490870297e-05,1e-06,0.0592482284581054,0.4492714287408066,0.007566993755730325
2025,Belgian Grand Prix,COL,Alpine,-0.002234564887152778,0.10103370303411957,36.0,"ols_team(fe+spline,clustered)",0.38900000000001,0.26149999999999807,1.0,0.048581630112981125,0.09424409669660401,0.8701132273044689,0.12988677269553103,0.0015103659158533006,0.26081434573927736,0.0036017244777766643,0.17650400040771294,1.4623464079288636e-05,1e-06,0.0533717618818298,0.4600291652470437,0.007566993755730325
2025,Belgian Grand Prix,GAS,Alpine,0.0023325327280405406,0.11473729075368237,37.0,"ols_team(fe+spline,clustered)",0.0,0.11066503512853618,1.0,0.001124139158326981,0.07965274662534194,0.48193928634447136,0.5180607136555286,0.002724491448537936,0.21481837743530363,0.0036017244777766643,0.1764864820515991,8.164764956828708e-05,1e-06,0.0268135834516461,0.5439359157245491,0.007566993755730325
2025,Belgian Grand Prix,VER,Red Bull Racing,0.0065225137246621625,0.07165362468472143,37.0,"ols_team(fe+spline,clustered)",0.0,0.21341991472212746,1.0,0.0058617670304196,0.0679273920148395,0.8986975386890756,0.10130246131092442,0.004353267433799769,0.4122868964309707,0.0036017244777766643,0.17649588872844668,2.1954349881204938e-05,1e-06,0.025404733237327407,0.6212065112779359,0.007566993755730325
2025,Belgian Grand Prix,BOR,Kick Sauber,0.009386217271959459,0.08404313083364348,37.0,"ols_team(fe+spline,clustered)",0.0,0.25197446960621483,1.0,0.00844655657659067,0.07972541137886066,0.8998893091708043,0.10011069082919562,0.005045270667831286,0.337715314240885,0.0036017244777766643,0.1764977064893442,1.574998267501907e-05,1e-06,0.030831393541464632,0.543483473310911,0.007566993755730325
2025,Belgian Grand Prix,SAI,Williams,0.009874131944444444,0.0866655837780226,36.0,"ols_team(fe+spline,clustered)",0.49000000000000915,0.10332634384963534,1.0,0.20815519617882322,0.06640092514365312,0.5870227425208595,0.4129772574791405,0.005113854249498612,0.32411037528009073,0.0036017244777766643,0.17653763417820126,9.365634365634593e-05,1e-06,0.15268547356016443,0.6318424638193744,0.007566993755730325
2025,Belgian Grand Prix,STR,Aston Martin,0.033177425986842105,0.09903411753675774,38.0,"ols_team(fe+spline,clustered)",0.11699999999999022,0.09050000000000581,1.0,0.0788553399654666,0.06680688368787502,0.4550642888697308,0.5449357111302693,0.010982491195827367,0.2685953692659305,0.0036017244777766643,0.17645169946797212,0.00012208148939415493,1e-06,0.07091418719054197,0.6290022632288444,0.007566993755730325
2025,Belgian Grand Prix,ANT,Mercedes,0.0835205078125,0.13583448851734437,35.0,"ols_team(fe+spline,clustered)",0.8849999999999909,0.29650000000000176,1.0,0.222554465399213,0.1234920309433509,0.8265283654267368,0.1734716345732632,0.01601042677534015,0.16332327239644542,0.0036017244777766643,0.1765162795703544,1.1374849638706204e-05,1e-06,0.11221440117729523,0.3316344130679213,0.007566993755730325
2025,Belgian Grand Prix,LEC,Ferrari,0.09158902554898649,0.08397358742611259,37.0,"ols_team(fe+spline,clustered)",0.0,0.15962482054283803,1.0,0.07173617811595967,0.07431733119726569,0.7832398880321256,0.21676011196787426,0.03283912231678797,0.3380857181462274,0.0036017244777766643,0.17651159011132617,3.924479924649999e-05,1e-06,0.06572179548615337,0.5780717629211699,0.007566993755730325
2025,Belgian Grand Prix,OCO,Haas F1 Team,0.10163638466282894,0.10495282408703972,38.0,"ols_team(fe+spline,clustered)",0.0,0.20944465259347084,1.0,0.08123750629190339,0.09383131803185793,0.7992955137218105,0.20070448627818946,0.02717753568746785,0.24640958406242566,0.0036017244777766643,0.17648615575194662,2.2795627228806994e-05,1e-06,0.06844846059323537,0.4622106450883808,0.007566993755730325
2025,Belgian Grand Prix,PIA,McLaren,0.1776665581597222,0.12281464714592884,36.0,"ols_team(fe+spline,clustered)",0.06400000000000716,5.711220794720634,1.0,0.17761402006053037,0.12278626063545788,0.9995377875424184,0.0004622124575815595,0.036532956577356224,0.19275853598339637,0.0036017244777766643,0.17649998827317423,3.0657877616476746e-08,1e-06,0.0976081801060306,0.33418010780667673,0.007566993755730325
2025,Belgian Grand Prix,HAD,Racing Bulls,0.31257481728830644,0.12713063335973235,31.0,"ols_team(fe+spline,clustered)",0.0,0.21048145867140855,1.0,0.22902357364418738,0.1088211500073148,0.732700016050702,0.267299983949298,0.059282762541004105,0.1822373313315662,0.0036017244777766643,0.17648474412314408,2.2571608427737287e-05,1e-06,0.12434298678337778,0.38986962476533144,0.007566993755730325
2025,British Grand Prix,HAM,Ferrari,-0.7421439034598214,0.17927710014234782,28.0,"ols_team(fe+spline,clustered)",0.0,5.38333389987571,1.0,-0.7413217483818317,0.17917777006549856,0.9988921891372322,0.0011078108627677694,0.0017326354452579884,3.1112639025414354e-05,1e-06,0.2479499761168566,3.450621704463054e-08,1e-06,0.13576830665158957,3.114714309533347e-05,1e-06
2025,British Grand Prix,STR,Aston Martin,-0.14332932692307693,0.20343713914864545,26.0,"ols_team(fe+spline,clustered)",0.9530000000000031,0.43599999999999994,1.0,0.052682839737359516,0.18435608976159717,0.8212105050491011,0.17878949495089896,0.0017531222759155276,2.4161785624257063e-05,1e-06,0.24795830897340831,5.260472285201767e-06,1e-06,0.13579361906909046,2.9422003708391162e-05,1e-06
2025,British Grand Prix,NOR,McLaren,-0.053643588362068964,0.11642066029233822,29.0,"ols_team(fe+spline,clustered)",0.015000000000000567,4.8900584787065755,1.0,-0.05360470302217911,0.11638768053152482,0.9994335182525023,0.0005664817474976478,0.0017524484430176727,7.377476633371792e-05,1e-06,0.24794996965508528,4.1818829836768986e-08,1e-06,0.1357792926194642,7.381657899343363e-05,1e-06
2025,British Grand Prix,VER,Red Bull Racing,-0.014447893415178572,0.13376854618752534,28.0,"ols_team(fe+spline,clustered)",0.0,0.1735282397767001,1.0,-0.00906251340973209,0.10594392867883874,0.627255001771487,0.37274499822851304,0.0017557718666695204,5.588145636703361e-05,1e-06,0.24794178786063453,3.320819378973576e-05,1e-06,0.13578453921949746,8.908593887762353e-05,1e-06
2025,British Grand Prix,RUS,Mercedes,-0.008335658482142858,0.24635328702600476,28.0,"ols_team(fe+spline,clustered)",0.0,3.7318231587838357,1.0,-0.008299490353714172,0.24581824689920692,0.9956610352372081,0.004338964762791977,0.0017568109141543596,1.6476923352584082e-05,1e-06,0.24794996057619148,7.180552433290709e-08,1e-06,0.13580456114405834,1.654872651066833e-05,1e-06
2025,British Grand Prix,OCO,Haas F1 Team,-0.0061492919921875,0.2564719900190157,32.0,"ols_team(fe+spline,clustered)",0.4789999999999992,0.2040147053523338,1.0,0.29098411470868246,0.15966124541900306,0.38754232644401077,0.6124576735559892,0.0017565970387278113,1.520244757433316e-05,1e-06,0.24795498768118382,2.4025178386949765e-05,1e-06,0.13581310452071602,3.922689549258043e-05,1e-06
2025,British Grand Prix,SAI,Williams,-0.0010775862068965517,0.14789419933965012,29.0,"ols_team(fe+spline,clustered)",0.0,0.16671851276927738,1.0,-0.0006030386303080779,0.1106363133101606,0.5596198489258963,0.44038015107410355,0.0017565570082634454,4.571701473622045e-05,1e-06,0.24792387973680316,3.5976318588289636e-05,1e-06,0.1357810365099528,8.169004399909405e-05,1e-06
2025,British Grand Prix,HUL,Kick Sauber,-9.260506465517241e-05,0.1490650192623034,29.0,"ols_team(fe+spline,clustered)",0.1280000000000001,0.45150000000000295,1.0,0.012497447769217001,0.1415498788146292,0.9017113218400289,0.098288678159971,0.001756617064955452,4.500170563011232e-05,1e-06,0.24794784127282868,4.905489610786126e-06,1e-06,0.135797855024361,4.990675374111677e-05,1e-06
2025,British Grand Prix,HAD,Racing Bulls,-8.138020833333333e-05,0.5190860175798597,3.0,"ols_team(fe+spline,clustered)",0.0,0.11115107961688687,1.0,-3.5677769498513487e-06,0.10868729485606599,0.04384084315977337,0.9561591568402267,0.0017567698687611382,3.711245867352831e-06,1e-06,0.2479382545737859,8.093520630890244e-05,1e-06,0.13582687454017492,8.464585146078052e-05,1e-06
2025,British Grand Prix,GAS,Alpine,-1.808449074074074e-05,0.15881056608865815,27.0,"ols_team(fe+spline,clustered)",0.0,5.370982817791578,1.0,-1.8068693617169553e-05,0.15874118901103568,0.9991264822550076,0.0008735177449923987,0.0017566427744700503,3.9648247250485836e-05,1e-06,0.24795000065319098,3.4665100120549397e-08,1e-06,0.13580045274665145,3.968290960184001e-05,1e-06
2025,British Grand Prix,ALB,Williams,0.0008348034274193549,0.23586004411640837,31.0,"ols_team(fe+spline,clustered)",0.14300000000000068,0.11504129693288405,1.0,0.11567842828039741,0.10339762662194102,0.1921818586988304,0.8078181413011696,0.001756670011349699,1.7975601942143794e-05,1e-06,0.24792487131355287,7.55543802651959e-05,1e-06,0.13579029745717144,9.352726606343313e-05,1e-06
2025,British Grand Prix,BEA,Haas F1 Team,0.006507610452586207,0.1715324408528675,29.0,"ols_team(fe+spline,clustered)",0.0,0.13554425271638915,1.0,0.0025014719592858043,0.10634897609829927,0.3843917790579625,0.6156082209420375,0.0017568786905437317,3.39854249763858e-05,1e-06,0.24793594151395917,5.4426968683931934e-05,1e-06,0.13579523203571126,8.84086943765276e-05,1e-06
2025,British Grand Prix,TSU,Red Bull Racing,0.014247349330357142,0.22826819080982536,28.0,"ols_team(fe+spline,clustered)",0.9339999999999975,6.3325962653559404,1.0,0.015440881983372672,0.22812003468194256,0.9987023330107865,0.0012976669892134163,0.001756917111974447,1.9191144339265607e-05,1e-06,0.24795003894073012,2.4936551152477295e-08,1e-06,0.13579513142350716,1.9216079933305377e-05,1e-06
2025,British Grand Prix,PIA,McLaren,0.05174967447916667,0.17338340000178065,30.0,"ols_team(fe+spline,clustered)",0.0,4.771724081239715,1.0,0.051681440767474905,0.17326905633314707,0.9986814658762881,0.0013185341237118675,0.00175819853086858,3.3263697560792064e-05,1e-06,0.24794996850714365,4.3918685645817326e-08,1e-06,0.1357904717657518,3.330761332469078e-05,1e-06
2025,British Grand Prix,ANT,Mercedes,0.07657877604166667,0.7795280850785595,3.0,"ols_team(fe+spline,clustered)",0.34499999999999886,0.18173584309834703,1.0,0.3311627826172918,0.17698958967538278,0.051550384796900516,0.9484496152030996,0.00175710033974405,1.645643474119835e-06,1e-06,0.2479529167153626,3.0276500137505452e-05,1e-06,0.13581318207966842,3.192204396456604e-05,1e-06
2025,British Grand Prix,ALO,Aston Martin,0.13831922743055555,0.2609541533073895,27.0,"ols_team(fe+spline,clustered)",0.0,0.09292330170630082,1.0,0.015565259881990617,0.08753890789905042,0.11253142582657426,0.8874685741734257,0.0017586331929981649,1.4684703958788086e-05,1e-06,0.2479258874956266,0.0001157978355068559,1e-06,0.13578037681486443,0.00013047913877365118,1e-06
