driver,step,n,event
RUS,no_pits,33,2025 British Grand Prix
SAI,no_pits,31,2025 British Grand Prix
STR,no_pits,32,2025 British Grand Prix
TSU,no_pits,31,2025 British Grand Prix
VER,no_pits,32,2025 British Grand Prix
ALB,bounds,33,2025 British Grand Prix
ALO,bounds,32,2025 British Grand Prix
ANT,bounds,4,2025 British Grand Prix
BEA,bounds,32,2025 British Grand Prix
GAS,bounds,32,2025 British Grand Prix
HAD,bounds,4,2025 British Grand Prix
HAM,bounds,31,2025 British Grand Prix
HUL,bounds,32,2025 British Grand Prix
LEC,bounds,32,2025 British Grand Prix
NOR,bounds,33,2025 British Grand Prix
OCO,bounds,34,2025 British Grand Prix
PIA,bounds,31,2025 British Grand Prix
RUS,bounds,33,2025 British Grand Prix
SAI,bounds,31,2025 British Grand Prix
STR,bounds,32,2025 British Grand Prix
TSU,bounds,31,2025 British Grand Prix
VER,bounds,32,2025 British Grand Prix
ALB,no_sc_vsc,31,2025 British Grand Prix
ALO,no_sc_vsc,28,2025 British Grand Prix
ANT,no_sc_vsc,3,2025 British Grand Prix
BEA,no_sc_vsc,28,2025 British Grand Prix
GAS,no_sc_vsc,27,2025 British Grand Prix
HAD,no_sc_vsc,3,2025 British Grand Prix
HAM,no_sc_vsc,27,2025 British Grand Prix
HUL,no_sc_vsc,29,2025 British Grand Prix
LEC,no_sc_vsc,29,2025 British Grand Prix
NOR,no_sc_vsc,29,2025 British Grand Prix
OCO,no_sc_vsc,32,2025 British Grand Prix
PIA,no_sc_vsc,29,2025 British Grand Prix
RUS,no_sc_vsc,29,2025 British Grand Prix
SAI,no_sc_vsc,28,2025 British Grand Prix
STR,no_sc_vsc,27,2025 British Grand Prix
TSU,no_sc_vsc,28,2025 British Grand Prix
VER,no_sc_vsc,28,2025 British Grand Prix
ALB,trimmed,27,2025 British Grand Prix
ALO,trimmed,24,2025 British Grand Prix
ANT,trimmed,3,2025 British Grand Prix
BEA,trimmed,24,2025 British Grand Prix
GAS,trimmed,23,2025 British Grand Prix
HAD,trimmed,3,2025 British Grand Prix
HAM,trimmed,23,2025 British Grand Prix
HUL,trimmed,25,2025 British Grand Prix
LEC,trimmed,25,2025 British Grand Prix
NOR,trimmed,25,2025 British Grand Prix
OCO,trimmed,28,2025 British Grand Prix
PIA,trimmed,25,2025 British Grand Prix
RUS,trimmed,25,2025 British Grand Prix
SAI,trimmed,24,2025 British Grand Prix
STR,trimmed,23,2025 British Grand Prix
TSU,trimmed,24,2025 British Grand Prix
VER,trimmed,24,2025 British Grand Prix
ALB,raw,15,2025 Austrian Grand Prix
ALO,raw,69,2025 Austrian Grand Prix
ANT,raw,1,2025 Austrian Grand Prix
BEA,raw,69,2025 Austrian Grand Prix
BOR,raw,69,2025 Austrian Grand Prix
COL,raw,69,2025 Austrian Grand Prix
GAS,raw,69,2025 Austrian Grand Prix
HAD,raw,69,2025 Austrian Grand Prix
HAM,raw,70,2025 Austrian Grand Prix
HUL,raw,69,2025 Austrian Grand Prix
LAW,raw,70,2025 Austrian Grand Prix
LEC,raw,70,2025 Austrian Grand Prix
NOR,raw,70,2025 Austrian Grand Prix
OCO,raw,69,2025 Austrian Grand Prix
PIA,raw,70,2025 Austrian Grand Prix
RUS,raw,70,2025 Austrian Grand Prix
SAI,raw,1,2025 Austrian Grand Prix
STR,raw,69,2025 Austrian Grand Prix
TSU,raw,68,2025 Austrian Grand Prix
VER,raw,1,2025 Austrian Grand Prix
ALB,accurate_valid,9,2025 Austrian Grand Prix
ALO,accurate_valid,63,2025 Austrian Grand Prix
BEA,accurate_valid,60,2025 Austrian Grand Prix
BOR,accurate_valid,62,2025 Austrian Grand Prix
COL,accurate_valid,61,2025 Austrian Grand Prix
GAS,accurate_valid,62,2025 Austrian Grand Prix
HAD,accurate_valid,64,2025 Austrian Grand Prix
HAM,accurate_valid,62,2025 Austrian Grand Prix
HUL,accurate_valid,62,2025 Austrian Grand Prix
LAW,accurate_valid,65,2025 Austrian Grand Prix
LEC,accurate_valid,62,2025 Austrian Grand Prix
NOR,accurate_valid,62,2025 Austrian Grand Prix
OCO,accurate_valid,61,2025 Austrian Grand Prix
PIA,accurate_valid,61,2025 Austrian Grand Prix
RUS,accurate_valid,63,2025 Austrian Grand Prix
STR,accurate_valid,61,2025 Austrian Grand Prix
TSU,accurate_valid,59,2025 Austrian Grand Prix
ALB,no_pits,9,2025 Austrian Grand Prix
ALO,no_pits,63,2025 Austrian Grand Prix
BEA,no_pits,60,2025 Austrian Grand Prix
BOR,no_pits,62,2025 Austrian Grand Prix
COL,no_pits,61,2025 Austrian Grand Prix
GAS,no_pits,62,2025 Austrian Grand Prix
HAD,no_pits,64,2025 Austrian Grand Prix
HAM,no_pits,62,2025 Austrian Grand Prix
HUL,no_pits,62,2025 Austrian Grand Prix
LAW,no_pits,65,2025 Austrian Grand Prix
LEC,no_pits,62,2025 Austrian Grand Prix
NOR,no_pits,62,2025 Austrian Grand Prix
OCO,no_pits,61,2025 Austrian Grand Prix
PIA,no_pits,61,2025 Austrian Grand Prix
RUS,no_pits,63,2025 Austrian Grand Prix
STR,no_pits,61,2025 Austrian Grand Prix
TSU,no_pits,59,2025 Austrian Grand Prix
ALB,bounds,9,2025 Austrian Grand Prix
ALO,bounds,63,2025 Austrian Grand Prix
BEA,bounds,60,2025 Austrian Grand Prix
BOR,bounds,62,2025 Austrian Grand Prix
COL,bounds,61,2025 Austrian Grand Prix
GAS,bounds,62,2025 Austrian Grand Prix
HAD,bounds,64,2025 Austrian Grand Prix
HAM,bounds,62,2025 Austrian Grand Prix
HUL,bounds,62,2025 Austrian Grand Prix
LAW,bounds,65,2025 Austrian Grand Prix
LEC,bounds,62,2025 Austrian Grand Prix
NOR,bounds,62,2025 Austrian Grand Prix
OCO,bounds,61,2025 Austrian Grand Prix
PIA,bounds,61,2025 Austrian Grand Prix
RUS,bounds,63,2025 Austrian Grand Prix
STR,bounds,61,2025 Austrian Grand Prix
TSU,bounds,59,2025 Austrian Grand Prix
ALB,no_sc_vsc,9,2025 Austrian Grand Prix
ALO,no_sc_vsc,62,2025 Austrian Grand Prix
BEA,no_sc_vsc,59,2025 Austrian Grand Prix
BOR,no_sc_vsc,61,2025 Austrian Grand Prix
COL,no_sc_vsc,60,2025 Austrian Grand Prix
GAS,no_sc_vsc,61,2025 Austrian Grand Prix
HAD,no_sc_vsc,63,2025 Austrian Grand Prix
HAM,no_sc_vsc,61,2025 Austrian Grand Prix
HUL,no_sc_vsc,61,2025 Austrian Grand Prix
LAW,no_sc_vsc,64,2025 Austrian Grand Prix
LEC,no_sc_vsc,61,2025 Austrian Grand Prix
NOR,no_sc_vsc,61,2025 Austrian Grand Prix
OCO,no_sc_vsc,60,2025 Austrian Grand Prix
PIA,no_sc_vsc,60,2025 Austrian Grand Prix
RUS,no_sc_vsc,62,2025 Austrian Grand Prix
STR,no_sc_vsc,60,2025 Austrian Grand Prix
TSU,no_sc_vsc,59,2025 Austrian Grand Prix
ALB,trimmed,7,2025 Austrian Grand Prix
ALO,trimmed,54,2025 Austrian Grand Prix
BEA,trimmed,53,2025 Austrian Grand Prix
BOR,trimmed,55,2025 Austrian Grand Prix
COL,trimmed,54,2025 Austrian Grand Prix
GAS,trimmed,55,2025 Austrian Grand Prix
HAD,trimmed,55,2025 Austrian Grand Prix
HAM,trimmed,55,2025 Austrian Grand Prix
HUL,trimmed,55,2025 Austrian Grand Prix
LAW,trimmed,56,2025 Austrian Grand Prix
LEC,trimmed,55,2025 Austrian Grand Prix
NOR,trimmed,55,2025 Austrian Grand Prix
OCO,trimmed,54,2025 Austrian Grand Prix
PIA,trimmed,54,2025 Austrian Grand Prix
RUS,trimmed,54,2025 Austrian Grand Prix
STR,trimmed,54,2025 Austrian Grand Prix
TSU,trimmed,53,2025 Austrian Grand Prix
ALB,raw,47,2025 Canadian Grand Prix
ALO,raw,70,2025 Canadian Grand Prix
ANT,raw,70,2025 Canadian Grand Prix
BEA,raw,69,2025 Canadian Grand Prix
BOR,raw,69,2025 Canadian Grand Prix
COL,raw,69,2025 Canadian Grand Prix
GAS,raw,69,2025 Canadian Grand Prix
HAD,raw,69,2025 Canadian Grand Prix
HAM,raw,70,2025 Canadian Grand Prix
HUL,raw,70,2025 Canadian Grand Prix
LAW,raw,54,2025 Canadian Grand Prix
LEC,raw,70,2025 Canadian Grand Prix
NOR,raw,67,2025 Canadian Grand Prix
OCO,raw,69,2025 Canadian Grand Prix
PIA,raw,70,2025 Canadian Grand Prix
RUS,raw,70,2025 Canadian Grand Prix
SAI,raw,69,2025 Canadian Grand Prix
STR,raw,69,2025 Canadian Grand Prix
TSU,raw,69,2025 Canadian Grand Prix
VER,raw,70,2025 Canadian Grand Prix
ALB,accurate_valid,43,2025 Canadian Grand Prix
ALO,accurate_valid,60,2025 Canadian Grand Prix
ANT,accurate_valid,60,2025 Canadian Grand Prix
