driver,step,n,event
HAM,trimmed,5,2025 Austrian Grand Prix
HUL,trimmed,3,2025 Austrian Grand Prix
LAW,trimmed,3,2025 Austrian Grand Prix
LEC,trimmed,4,2025 Austrian Grand Prix
NOR,trimmed,4,2025 Austrian Grand Prix
OCO,trimmed,3,2025 Austrian Grand Prix
PIA,trimmed,5,2025 Austrian Grand Prix
RUS,trimmed,4,2025 Austrian Grand Prix
SAI,trimmed,4,2025 Austrian Grand Prix
STR,trimmed,3,2025 Austrian Grand Prix
TSU,trimmed,2,2025 Austrian Grand Prix
VER,trimmed,3,2025 Austrian Grand Prix
ALB,raw,30,2025 Canadian Grand Prix
ALO,raw,27,2025 Canadian Grand Prix
ANT,raw,21,2025 Canadian Grand Prix
BEA,raw,19,2025 Canadian Grand Prix
BOR,raw,11,2025 Canadian Grand Prix
COL,raw,20,2025 Canadian Grand Prix
GAS,raw,12,2025 Canadian Grand Prix
HAD,raw,21,2025 Canadian Grand Prix
HAM,raw,27,2025 Canadian Grand Prix
HUL,raw,18,2025 Canadian Grand Prix
LAW,raw,10,2025 Canadian Grand Prix
LEC,raw,27,2025 Canadian Grand Prix
NOR,raw,22,2025 Canadian Grand Prix
OCO,raw,21,2025 Canadian Grand Prix
PIA,raw,23,2025 Canadian Grand Prix
RUS,raw,21,2025 Canadian Grand Prix
SAI,raw,13,2025 Canadian Grand Prix
STR,raw,12,2025 Canadian Grand Prix
TSU,raw,15,2025 Canadian Grand Prix
VER,raw,20,2025 Canadian Grand Prix
ALB,accurate_valid,14,2025 Canadian Grand Prix
ALO,accurate_valid,15,2025 Canadian Grand Prix
ANT,accurate_valid,7,2025 Canadian Grand Prix
BEA,accurate_valid,8,2025 Canadian Grand Prix
BOR,accurate_valid,5,2025 Canadian Grand Prix
COL,accurate_valid,10,2025 Canadian Grand Prix
GAS,accurate_valid,6,2025 Canadian Grand Prix
HAD,accurate_valid,9,2025 Canadian Grand Prix
HAM,accurate_valid,13,2025 Canadian Grand Prix
HUL,accurate_valid,8,2025 Canadian Grand Prix
LAW,accurate_valid,6,2025 Canadian Grand Prix
LEC,accurate_valid,15,2025 Canadian Grand Prix
NOR,accurate_valid,9,2025 Canadian Grand Prix
OCO,accurate_valid,11,2025 Canadian Grand Prix
PIA,accurate_valid,11,2025 Canadian Grand Prix
RUS,accurate_valid,7,2025 Canadian Grand Prix
SAI,accurate_valid,7,2025 Canadian Grand Prix
STR,accurate_valid,6,2025 Canadian Grand Prix
TSU,accurate_valid,5,2025 Canadian Grand Prix
VER,accurate_valid,7,2025 Canadian Grand Prix
ALB,soft_only,7,2025 Canadian Grand Prix
ALO,soft_only,3,2025 Canadian Grand Prix
ANT,soft_only,3,2025 Canadian Grand Prix
BEA,soft_only,8,2025 Canadian Grand Prix
BOR,soft_only,5,2025 Canadian Grand Prix
COL,soft_only,5,2025 Canadian Grand Prix
GAS,soft_only,3,2025 Canadian Grand Prix
HAD,soft_only,9,2025 Canadian Grand Prix
HAM,soft_only,13,2025 Canadian Grand Prix
HUL,soft_only,8,2025 Canadian Grand Prix
LAW,soft_only,6,2025 Canadian Grand Prix
LEC,soft_only,15,2025 Canadian Grand Prix
NOR,soft_only,9,2025 Canadian Grand Prix
OCO,soft_only,11,2025 Canadian Grand Prix
PIA,soft_only,11,2025 Canadian Grand Prix
RUS,soft_only,5,2025 Canadian Grand Prix
SAI,soft_only,7,2025 Canadian Grand Prix
STR,soft_only,3,2025 Canadian Grand Prix
TSU,soft_only,5,2025 Canadian Grand Prix
VER,soft_only,3,2025 Canadian Grand Prix
ALB,bounds,7,2025 Canadian Grand Prix
ALO,bounds,3,2025 Canadian Grand Prix
ANT,bounds,3,2025 Canadian Grand Prix
BEA,bounds,8,2025 Canadian Grand Prix
BOR,bounds,5,2025 Canadian Grand Prix
COL,bounds,5,2025 Canadian Grand Prix
GAS,bounds,3,2025 Canadian Grand Prix
HAD,bounds,9,2025 Canadian Grand Prix
HAM,bounds,13,2025 Canadian Grand Prix
HUL,bounds,8,2025 Canadian Grand Prix
LAW,bounds,6,2025 Canadian Grand Prix
LEC,bounds,15,2025 Canadian Grand Prix
NOR,bounds,9,2025 Canadian Grand Prix
OCO,bounds,11,2025 Canadian Grand Prix
PIA,bounds,11,2025 Canadian Grand Prix
RUS,bounds,5,2025 Canadian Grand Prix
SAI,bounds,7,2025 Canadian Grand Prix
STR,bounds,3,2025 Canadian Grand Prix
TSU,bounds,5,2025 Canadian Grand Prix
VER,bounds,3,2025 Canadian Grand Prix
ALB,trimmed,5,2025 Canadian Grand Prix
ALO,trimmed,3,2025 Canadian Grand Prix
ANT,trimmed,3,2025 Canadian Grand Prix
BEA,trimmed,6,2025 Canadian Grand Prix
BOR,trimmed,3,2025 Canadian Grand Prix
